id,item_count,total_item_price,total_payment_value,total_freight_value,review_score,order_purchase_month,order_purchase_day,order_purchase_dayofweek,order_purchase_hour,order_purchase_time_day,until_shipped_waiting_hours,until_delivered_waiting_hours,total_package_volume,total_package_weight_g,delivery_efficiency,total_delivered_waiting_day,is_shipping_delayed,is_delivered_delayed,geo_distance,customer_state_region_type,seller_state_region_type,review_type,logistics_delay_hours,RFM_type,seller_level,product_type4,product_category6,package_kmeans,price_kmeans
9805,1,1,0,0,5,8,22,3,13,1,1,1,0,0,1,1,0,0,0,3,3,1,1,2,0,3,5,0,3
3514,1,2,2,0,4,6,21,4,19,1,1,1,0,1,1,1,0,0,0,3,3,1,1,4,0,3,6,0,3
7702,1,1,1,0,5,6,17,0,21,1,1,1,0,0,1,1,0,0,0,3,3,1,1,2,1,4,1,0,3
6086,2,2,2,2,1,3,23,5,19,1,0,0,1,1,0,0,0,0,1,3,2,0,0,4,0,3,5,0,1
2127,1,1,1,1,1,5,21,0,23,0,0,0,1,0,0,0,0,0,2,3,3,0,0,1,0,3,4,0,3
5022,1,2,2,2,1,12,1,5,10,1,0,0,2,2,0,0,0,0,1,2,3,0,0,3,0,3,5,2,2
4956,1,2,2,2,1,10,1,0,15,1,0,0,2,2,0,0,0,0,2,2,2,0,0,3,1,4,1,2,0
2102,1,1,1,2,5,1,21,6,11,1,1,0,2,2,0,0,0,0,2,2,3,1,0,1,0,3,4,2,3
3616,1,1,1,1,1,10,23,1,21,1,0,0,0,0,0,0,0,0,2,2,3,0,0,1,0,3,2,0,3
9346,1,0,0,1,5,2,26,1,0,0,0,0,1,1,0,0,0,0,2,3,2,1,0,4,0,3,4,0,3
4393,2,1,1,1,5,7,25,3,11,1,1,1,1,0,1,1,0,0,0,3,3,1,1,2,1,3,5,0,3
11411,2,2,2,2,1,6,1,4,13,1,1,1,2,2,1,1,0,0,0,3,3,0,1,3,1,3,4,2,0
1297,1,1,1,0,5,4,20,5,13,1,1,1,0,2,1,1,0,0,0,3,3,1,1,2,1,3,4,0,3
10524,1,2,2,1,1,7,7,5,12,1,0,0,0,0,0,0,0,0,1,3,2,0,0,3,0,3,5,0,0
8521,1,0,0,0,4,1,9,2,19,1,1,1,0,0,1,1,0,0,0,3,3,1,1,2,1,4,1,0,3
8562,1,1,0,0,5,5,4,5,3,0,1,1,0,0,1,1,0,0,0,3,3,1,1,2,1,4,1,0,3
818,1,2,2,0,5,7,3,2,23,0,0,1,0,0,1,1,0,0,0,3,3,1,1,4,0,3,1,0,0
2869,1,1,1,0,5,6,25,1,1,0,0,1,1,1,1,1,0,0,0,3,3,1,1,2,0,3,5,0,3
2649,1,0,0,0,5,7,3,2,20,1,0,1,0,0,1,1,0,0,0,3,3,1,1,2,1,4,1,0,3
2719,1,0,0,0,5,12,8,5,14,1,1,1,0,1,1,1,0,0,0,3,3,1,1,1,0,3,5,0,3
5360,1,1,1,0,3,3,19,1,19,1,1,1,1,1,1,1,0,0,0,3,3,0,1,2,1,3,1,0,3
11307,1,2,2,0,1,5,21,0,21,1,1,1,0,1,1,1,0,0,0,2,2,0,1,3,1,3,1,0,3
1605,1,2,2,2,1,5,5,6,22,0,0,0,2,2,0,0,0,0,1,3,3,0,0,4,0,3,5,2,3
12371,6,2,2,2,1,4,24,1,9,0,0,0,1,2,0,0,0,0,1,3,3,0,0,3,0,3,6,0,1
742,1,2,2,2,1,11,24,5,20,1,0,0,2,2,0,0,0,0,1,3,3,0,0,1,0,4,4,2,3
10305,1,2,2,2,1,10,8,6,22,0,0,0,1,1,0,0,0,0,2,2,3,0,0,3,0,4,1,0,2
5119,1,1,1,1,1,1,25,4,9,0,1,0,2,1,0,0,0,0,0,2,3,0,0,2,0,1,2,0,3
2650,1,0,0,0,1,11,25,6,14,1,0,0,0,1,0,0,0,0,2,1,3,0,0,1,0,3,4,0,3
4397,1,1,1,1,1,9,5,1,0,0,0,0,1,1,0,0,0,0,1,3,3,0,0,1,0,3,2,0,3
1812,3,2,2,2,1,5,22,2,18,1,0,0,1,1,0,0,0,0,1,2,3,0,0,4,0,3,4,0,0
12395,1,0,0,0,1,8,11,5,11,1,0,0,1,1,0,0,0,0,0,2,3,0,0,1,0,1,3,0,3
2117,1,1,1,0,1,11,29,3,8,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,3,2,0,3
7160,1,2,2,1,4,4,23,1,14,1,1,1,2,2,1,1,0,0,0,3,3,1,1,4,0,3,4,2,3
1921,1,2,2,2,4,5,24,4,0,0,1,1,2,2,1,1,0,0,0,3,3,1,1,4,0,2,2,2,1
1076,2,2,1,1,2,8,2,4,22,0,1,1,1,1,1,1,0,0,0,3,3,0,1,2,1,3,1,0,3
9484,1,0,0,0,2,7,4,3,12,1,0,1,0,0,1,1,0,0,0,3,3,0,1,2,1,4,1,0,3
11646,1,0,0,0,5,1,22,1,8,0,1,1,0,0,1,1,0,0,0,3,3,1,1,2,0,3,2,0,3
11629,1,1,1,1,3,3,20,1,14,1,0,0,0,0,0,0,0,0,2,2,3,0,0,1,0,3,5,0,3
8342,1,0,0,2,5,3,8,3,11,1,0,0,1,0,0,0,0,0,2,1,2,1,0,1,0,3,2,0,3
7378,1,0,0,2,1,5,6,6,19,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,3,5,0,3
1193,1,0,0,0,4,11,17,5,6,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,3,5,0,3
10733,1,2,2,1,1,11,6,1,15,1,0,0,2,0,0,0,0,0,1,2,2,0,0,3,0,3,2,0,0
2298,1,0,0,0,3,8,29,2,13,1,1,1,0,1,1,1,0,0,0,3,3,0,1,1,0,1,5,0,3
6316,1,2,2,0,5,7,8,0,22,0,1,1,0,0,1,1,0,0,0,3,3,1,1,4,1,4,1,0,0
445,1,1,1,0,1,11,24,5,9,0,1,0,0,0,0,0,0,0,0,3,3,0,0,1,1,3,5,0,3
6772,1,1,1,0,5,7,11,3,1,0,1,1,0,0,1,1,0,0,0,3,3,1,1,2,1,4,1,0,3
6306,1,1,1,0,5,2,7,3,9,0,1,1,0,0,1,1,0,0,0,3,3,1,1,2,1,3,1,0,3
3122,1,1,1,1,5,8,5,6,16,1,0,0,0,2,0,0,0,0,0,2,3,1,0,1,0,3,2,0,3
6846,1,2,2,1,1,5,31,3,19,1,0,0,2,2,0,0,0,0,0,3,3,0,0,3,0,3,6,1,0
8107,1,2,2,2,1,2,12,0,0,0,0,0,2,2,0,0,0,0,2,4,3,0,0,3,0,3,5,2,0
2198,1,1,1,2,1,6,13,2,21,1,0,0,2,2,0,0,0,0,0,2,3,0,0,1,0,3,5,2,3
4190,2,2,2,2,1,3,13,2,20,1,0,0,2,2,0,0,0,0,2,3,2,0,0,4,0,2,6,1,2
12224,1,1,1,1,1,2,4,0,14,1,0,0,2,2,0,0,0,0,2,1,3,0,0,2,0,3,5,0,3
9324,1,2,2,1,1,12,11,1,12,1,0,0,2,2,0,0,0,0,2,3,3,0,0,3,0,3,5,2,0
8132,1,1,1,0,3,6,27,3,20,1,1,1,0,2,1,1,0,0,1,3,3,0,1,2,0,1,3,0,3
2199,1,0,0,0,1,2,6,1,15,1,0,0,1,0,0,0,0,0,1,3,2,0,0,1,0,3,2,0,3
12430,1,0,0,0,5,8,17,5,15,1,1,1,0,0,1,1,0,0,1,3,3,1,1,2,0,3,5,0,3
6431,2,0,0,2,1,2,20,1,19,1,0,0,2,2,0,0,0,0,0,3,3,0,0,1,0,3,4,0,3
863,1,1,1,0,5,6,13,3,9,0,1,1,1,1,1,1,0,0,0,3,3,1,1,2,0,3,6,0,3
7537,1,0,0,0,5,7,4,3,22,0,0,1,1,1,1,1,0,0,0,3,3,1,1,2,1,4,1,0,3
11319,1,0,0,0,5,7,30,1,16,1,0,1,0,1,1,1,0,0,0,3,3,1,1,2,0,3,5,0,3
9523,1,2,2,1,1,7,19,3,16,1,0,0,1,2,0,0,0,0,0,3,3,0,0,3,0,2,2,0,0
8543,1,2,2,2,5,2,10,5,0,0,0,0,2,1,0,0,0,0,0,2,2,1,0,3,0,3,4,2,2
10481,1,2,2,1,1,7,5,3,23,0,0,0,2,1,0,0,0,0,2,3,3,0,0,1,0,3,5,0,3
8564,1,2,2,1,1,7,31,2,14,1,0,0,1,1,0,0,0,0,2,3,2,0,0,4,0,3,5,0,3
163,1,0,0,2,1,5,9,2,11,1,1,0,1,1,0,0,0,0,2,1,3,0,0,1,1,3,5,0,3
4142,4,2,2,2,1,1,14,0,21,1,0,0,2,1,0,0,0,0,1,3,2,0,0,4,0,3,4,1,0
104,1,0,0,1,3,8,3,5,17,1,0,0,2,1,0,0,0,0,2,3,3,0,0,2,0,1,5,0,3
1517,1,2,2,1,1,2,13,1,18,1,0,0,1,1,0,0,0,0,0,2,3,0,0,3,0,3,2,0,0
8310,2,0,1,2,1,4,7,5,21,1,0,0,2,1,0,0,0,0,0,3,3,0,0,1,0,3,5,0,3
1583,1,0,0,1,1,3,15,3,10,1,0,0,1,1,0,0,0,0,2,2,3,0,0,1,0,1,5,0,3
6126,1,2,2,1,1,12,16,6,13,1,0,0,1,2,0,0,0,0,2,3,3,0,0,3,0,3,4,0,3
1662,1,2,2,1,5,10,9,1,8,0,1,1,2,2,1,1,0,0,0,2,2,1,1,3,0,2,2,0,0
